supplier_id,registered_name,trading_name,category,address,city,phone,email,vat_number,payment_terms,currency
SUP-001,Ceylon Fresh Produce (Pvt) Ltd,Ceylon Fresh Produce,Vegetables,345 Station Road,Dambulla,033 468 7334,accounts@ceylonfreshpro.lk,137974110-7000,30 days,LKR
SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,Highland Veg,Vegetables,380 Galle Road,Nuwara Eliya,011 412 4456,accounts@highlandveg.lk,162920592-7000,14 days,LKR
SUP-003,Green Acre Agro Exports (Pvt) Ltd,Green Acre,Fruit,188 Main Street,Kegalle,081 275 4127,accounts@greenacre.lk,152531816-7000,30 days,LKR
SUP-004,Negombo Bay Seafoods (Pvt) Ltd,Negombo Bay Seafoods,Fish & Seafood,125 Church Street,Negombo,063 308 5272,accounts@negombobayseaf.lk,167963467-7000,7 days,LKR
SUP-005,Chilaw Fisheries Company Limited,Chilaw Fisheries,Fish & Seafood,353 Negombo Road,Chilaw,065 757 2616,accounts@chilawfisherie.lk,124669184-7000,14 days,LKR
SUP-006,Prima Meats & Poultry (Pvt) Ltd,Prima Meats,Meat & Poultry,426 Negombo Road,Ja-Ela,041 445 6944,accounts@primameats.lk,121535984-7000,30 days,LKR
SUP-007,Crescent Halal Foods (Pvt) Ltd,Crescent Halal,Meat & Poultry,41 Kandy Road,Colombo 12,091 652 7271,accounts@crescenthalal.lk,118314315-7000,30 days,LKR
SUP-008,Lanka Dairy Products (Pvt) Ltd,Lanka Dairy Products,Dairy,96 Old Moor Street,Kurunegala,011 311 5158,accounts@lankadairyprod.lk,131485020-7000,30 days,LKR
SUP-009,Lanka Dairies Limited,Lanka Dairies,Dairy,378 Galle Road,Colombo 15,063 740 4447,accounts@lankadairies.lk,176390081-7000,45 days,LKR
SUP-010,Serendib Creamery (Pvt) Ltd,Serendib Creamery,Dairy,325 Temple Road,Gampaha,063 234 5246,accounts@serendibcreame.lk,102741909-7000,30 days,LKR
