record_id,supplier_id,supplier_name,invoice_number,invoice_date,date_entered,currency,net_amount,tax_amount,gross_amount,cost_centre,entered_by,status
FR-00001,SUP-014,Silverline Oils & Fats (Pvt) Ltd,000621,2025-12-20,2025-12-21,LKR,250273.00,45049.14,295322.14,CC-CKN,sunil.j,Posted
FR-00002,SUP-041,Sithumina Hardware & Electricals,000230,2026-01-11,2026-01-20,LKR,96221.00,0.00,96221.00,CC-C03,nimali.p,Posted
FR-00003,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0324,2026-01-19,2026-01-28,LKR,151334.00,27240.12,178574.12,CC-CKN,nimali.p,Posted
FR-00004,SUP-006,Prima Meats & Poultry (Pvt) Ltd,PM2026286,2026-01-26,2026-01-30,LKR,166435.00,0.00,166435.00,CC-CKN,nimali.p,Posted
FR-00005,SUP-010,Serendib Creamery (Pvt) Ltd,000641,2026-01-24,2026-01-25,LKR,134995.00,24299.10,159294.10,CC-CKN,nimali.p,Posted
FR-00006,SUP-022,Hygiene First Chemicals (Pvt) Ltd,HFC/26/663,2026-01-03,2026-01-05,LKR,373728.00,67271.04,440999.04,CC-RAJ,sunil.j,Posted
FR-00007,SUP-024,Coolzone Refrigeration Engineers (Pvt) Ltd,CRE2026535,2026-01-17,2026-01-20,LKR,551544.00,99277.92,650821.92,CC-MLV,nimali.p,Posted
FR-00008,SUP-013,Orient Spice Millers (Pvt) Ltd,OSM/26/169,2026-02-21,2026-02-25,LKR,462591.00,83266.38,545857.38,CC-C07,nimali.p,Posted
FR-00009,SUP-024,Coolzone Refrigeration Engineers (Pvt) Ltd,CRE2025540,2025-12-22,2025-12-23,LKR,569965.00,102593.70,672558.70,CC-BAT,nimali.p,Posted
FR-00010,SUP-027,Nexus Waste Management (Pvt) Ltd,001347,2026-03-21,2026-03-23,LKR,85301.00,15354.18,100755.18,CC-C03,nimali.p,Posted
FR-00011,SUP-003,Green Acre Agro Exports (Pvt) Ltd,GAA-0500,2025-12-21,2025-12-23,LKR,492037.00,0.00,492037.00,CC-C07,nimali.p,Posted
FR-00012,SUP-014,Silverline Oils & Fats (Pvt) Ltd,000603,2025-12-17,2025-12-26,LKR,598356.00,107704.08,706060.08,CC-NUG,nimali.p,Posted
FR-00013,SUP-031,Bakers Choice Ingredients (Pvt) Ltd,BCI/25/639,2025-12-07,2025-12-15,LKR,53132.00,9563.76,62695.76,CC-CKN,nimali.p,Posted
FR-00014,SUP-005,Chilaw Fisheries Company Limited,000286,2026-02-04,2026-02-07,LKR,137762.00,0.00,137762.00,CC-MLV,nimali.p,Posted
